Sector of Institution,Reporting Location,Offense,Date,Count
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2013,2
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2014,87
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2014,53
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2014,11
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2014,13
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2014,6
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2014,1
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2015,127
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2015,47
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2015,2
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2015,18
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2015,3
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Robbery,sum2015,0
"Public, 4-year or above",Non-Campus,Criminal Offenses - Robbery,sum2013,76
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Robbery,sum2013,64
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Robbery,sum2013,23
"Public, 2-year",Non-Campus,Criminal Offenses - Robbery,sum2013,39
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Robbery,sum2013,1
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Robbery,sum2013,2
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Robbery,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Robbery,sum2013,1
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Robbery,sum2013,4
"Public, 4-year or above",Non-Campus,Criminal Offenses - Robbery,sum2014,99
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Robbery,sum2014,48
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Robbery,sum2014,20
"Public, 2-year",Non-Campus,Criminal Offenses - Robbery,sum2014,13
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Robbery,sum2014,0
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Robbery,sum2014,3
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Robbery,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Robbery,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Robbery,sum2014,4
"Public, 4-year or above",Non-Campus,Criminal Offenses - Robbery,sum2015,79
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Robbery,sum2015,57
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Robbery,sum2015,12
"Public, 2-year",Non-Campus,Criminal Offenses - Robbery,sum2015,22
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Robbery,sum2015,2
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Robbery,sum2015,1
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Robbery,sum2015,1
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Robbery,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Robbery,sum2015,4
"Public, 4-year or above",Public Property,Criminal Offenses - Robbery,sum2013,623
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Robbery,sum2013,773
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Robbery,sum2013,59
"Public, 2-year",Public Property,Criminal Offenses - Robbery,sum2013,213
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Robbery,sum2013,24
"Private for-profit, 2-year",Public Property,Criminal Offenses - Robbery,sum2013,79
"Public, less-than 2-year",Public Property,Criminal Offenses - Robbery,sum2013,5
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Robbery,sum2013,11
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Robbery,sum2013,121
"Public, 4-year or above",Public Property,Criminal Offenses - Robbery,sum2014,524
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Robbery,sum2014,646
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Robbery,sum2014,76
"Public, 2-year",Public Property,Criminal Offenses - Robbery,sum2014,188
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Robbery,sum2014,36
"Private for-profit, 2-year",Public Property,Criminal Offenses - Robbery,sum2014,84
"Public, less-than 2-year",Public Property,Criminal Offenses - Robbery,sum2014,9
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Robbery,sum2014,8
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Robbery,sum2014,113
"Public, 4-year or above",Public Property,Criminal Offenses - Robbery,sum2015,509
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Robbery,sum2015,669
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Robbery,sum2015,59
"Public, 2-year",Public Property,Criminal Offenses - Robbery,sum2015,154
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Robbery,sum2015,8
"Private for-profit, 2-year",Public Property,Criminal Offenses - Robbery,sum2015,71
"Public, less-than 2-year",Public Property,Criminal Offenses - Robbery,sum2015,7
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Robbery,sum2015,3
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Robbery,sum2015,135
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,654
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,440
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,25
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,262
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,53
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,14
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,14
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,6
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,38
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,674
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,415
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,14
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,274
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,55
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,15
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,9
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,16
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,708
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,462
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,26
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,291
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,41
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,25
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,13
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,3
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,32
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,366
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,267
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,39
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,49
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,3
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,3
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,1
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,353
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,268
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,22
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,58
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,6
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,5
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,1
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2014,1
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,441
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,282
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,14
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,63
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,9
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,4
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Aggravated Assault,sum2015,0
"Public, 4-year or above",Non-Campus,Criminal Offenses - Aggravated Assault,sum2013,198
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Aggravated Assault,sum2013,122
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Aggravated Assault,sum2013,17
"Public, 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2013,97
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2013,20
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2013,2
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2013,14
"Public, 4-year or above",Non-Campus,Criminal Offenses - Aggravated Assault,sum2014,185
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Aggravated Assault,sum2014,113
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Aggravated Assault,sum2014,19
"Public, 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2014,44
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2014,10
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2014,2
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2014,1
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2014,3
"Public, 4-year or above",Non-Campus,Criminal Offenses - Aggravated Assault,sum2015,159
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Aggravated Assault,sum2015,128
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Aggravated Assault,sum2015,25
"Public, 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2015,52
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2015,8
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2015,1
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Aggravated Assault,sum2015,13
"Public, 4-year or above",Public Property,Criminal Offenses - Aggravated Assault,sum2013,449
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Aggravated Assault,sum2013,440
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Aggravated Assault,sum2013,54
"Public, 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2013,198
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2013,26
"Private for-profit, 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2013,65
"Public, less-than 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2013,7
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2013,7
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2013,76
"Public, 4-year or above",Public Property,Criminal Offenses - Aggravated Assault,sum2014,389
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Aggravated Assault,sum2014,410
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Aggravated Assault,sum2014,37
"Public, 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2014,156
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2014,31
"Private for-profit, 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2014,75
"Public, less-than 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2014,2
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2014,1
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2014,90
"Public, 4-year or above",Public Property,Criminal Offenses - Aggravated Assault,sum2015,391
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Aggravated Assault,sum2015,474
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Aggravated Assault,sum2015,41
"Public, 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2015,186
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2015,13
"Private for-profit, 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2015,60
"Public, less-than 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2015,9
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2015,4
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Aggravated Assault,sum2015,75
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2013,3441
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2013,2363
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2013,170
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2013,1207
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2013,26
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2013,97
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2013,33
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2013,8
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2013,104
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2014,3169
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2014,2002
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2014,144
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2014,1011
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2014,34
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2014,62
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2014,17
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2014,2
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2014,85
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2015,2767
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2015,1923
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2015,101
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2015,930
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2015,43
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2015,71
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2015,16
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2015,4
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Burglary,sum2015,77
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2013,3916
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2013,3747
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2013,116
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2013,391
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2013,35
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2013,1
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2013,1
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2013,5
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2014,3563
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2014,3175
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2014,126
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2014,468
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2014,33
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2014,7
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2014,1
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2014,6
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2015,3019
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2015,3060
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2015,83
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2015,506
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2015,5
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2015,2
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Burglary,sum2015,2
"Public, 4-year or above",Non-Campus,Criminal Offenses - Burglary,sum2013,787
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Burglary,sum2013,430
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Burglary,sum2013,134
"Public, 2-year",Non-Campus,Criminal Offenses - Burglary,sum2013,135
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Burglary,sum2013,25
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Burglary,sum2013,5
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Burglary,sum2013,2
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Burglary,sum2013,12
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Burglary,sum2013,12
"Public, 4-year or above",Non-Campus,Criminal Offenses - Burglary,sum2014,861
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Burglary,sum2014,391
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Burglary,sum2014,79
"Public, 2-year",Non-Campus,Criminal Offenses - Burglary,sum2014,81
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Burglary,sum2014,5
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Burglary,sum2014,2
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Burglary,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Burglary,sum2014,20
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Burglary,sum2014,13
"Public, 4-year or above",Non-Campus,Criminal Offenses - Burglary,sum2015,756
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Burglary,sum2015,339
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Burglary,sum2015,39
"Public, 2-year",Non-Campus,Criminal Offenses - Burglary,sum2015,58
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Burglary,sum2015,28
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Burglary,sum2015,2
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Burglary,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Burglary,sum2015,33
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Burglary,sum2015,16
"Public, 4-year or above",Public Property,Criminal Offenses - Burglary,sum2013,0
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Burglary,sum2013,0
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Burglary,sum2013,0
"Public, 2-year",Public Property,Criminal Offenses - Burglary,sum2013,0
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Burglary,sum2013,0
"Private for-profit, 2-year",Public Property,Criminal Offenses - Burglary,sum2013,0
"Public, less-than 2-year",Public Property,Criminal Offenses - Burglary,sum2013,0
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Burglary,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Burglary,sum2013,0
"Public, 4-year or above",Public Property,Criminal Offenses - Burglary,sum2014,0
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Burglary,sum2014,0
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Burglary,sum2014,0
"Public, 2-year",Public Property,Criminal Offenses - Burglary,sum2014,0
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Burglary,sum2014,0
"Private for-profit, 2-year",Public Property,Criminal Offenses - Burglary,sum2014,0
"Public, less-than 2-year",Public Property,Criminal Offenses - Burglary,sum2014,0
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Burglary,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Burglary,sum2014,0
"Public, 4-year or above",Public Property,Criminal Offenses - Burglary,sum2015,0
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Burglary,sum2015,0
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Burglary,sum2015,0
"Public, 2-year",Public Property,Criminal Offenses - Burglary,sum2015,0
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Burglary,sum2015,0
"Private for-profit, 2-year",Public Property,Criminal Offenses - Burglary,sum2015,0
"Public, less-than 2-year",Public Property,Criminal Offenses - Burglary,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Burglary,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Burglary,sum2015,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,1580
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,731
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,72
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,617
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,17
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,63
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,3
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,2
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,39
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,1531
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,774
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,58
